Name,Lat,Longt,Alt,AirTemp,DewPoint,Precip,Pressure,RelativeHumidity,WindGust,WindSpeed,Visibility
C0A770,25.0963555555556,121.516505555556,N/A,24.5,N/A,0.0,1009.9,0.75,N/A,3.6,N/A
C0UA80,24.9418027777778,121.902955555556,N/A,22.9,N/A,15.5,1014.4,0.91,N/A,0.7,N/A
C0UA90,24.9804444444444,121.951213888889,N/A,24.5,N/A,1.5,1015.0,0.81,N/A,1.6,N/A
C0AJ10,25.0571083333333,121.927272222222,N/A,23.7,N/A,3.0,1014.1,0.84,N/A,5.5,N/A
C0B040,25.1666777777778,121.706994444444,N/A,23.3,N/A,0.0,1015.0,0.88,N/A,3.0,N/A
C0AJ20,25.2070305555556,121.690022222222,N/A,22.9,N/A,0.0,1008.5,0.88,N/A,8.1,N/A
C0AJ30,25.1845916666667,121.408616666667,N/A,23.9,N/A,0.0,1011.8,0.8,N/A,3.4,N/A
C0C720,25.1126944444444,121.239825,N/A,24.7,N/A,0.0,1012.3,0.75,N/A,5.3,N/A
C0C730,24.9661277777778,121.008583333333,N/A,23.9,N/A,0.0,1013.4,0.81,N/A,1.0,N/A
C0AJ40,25.2736722222222,121.6012,N/A,21.7,N/A,1.0,999.4,0.92,N/A,4.3,N/A
C0C740,25.0647666666667,121.114858333333,N/A,24.6,N/A,0.0,1013.0,0.77,N/A,4.0,N/A
C0D670,24.8319888888889,120.914438888889,N/A,24.6,N/A,0.0,1011.9,0.77,N/A,2.9,N/A
C0D680,24.7835833333333,120.914988888889,N/A,25.3,N/A,0.0,1012.2,0.75,N/A,2.5,N/A
C0AJ50,25.1236972222222,121.862238888889,N/A,23.1,N/A,8.0,1013.8,0.86,N/A,3.9,N/A
C0B050,25.1447555555556,121.791672222222,N/A,23.0,N/A,2.5,1015.8,0.87,N/A,4.6,N/A
C0D690,24.9177361111111,120.968711111111,N/A,24.2,N/A,0.0,1012.7,0.79,N/A,1.5,N/A
C0E910,24.6487694444444,120.772436111111,N/A,24.4,N/A,0.0,1012.0,0.85,N/A,2.2,N/A
C0E920,24.4985888888889,120.673877777778,N/A,23.5,N/A,0.0,1012.4,0.88,N/A,0.0,N/A
C0FA10,24.4291166666667,120.617483333333,N/A,23.8,N/A,0.0,1011.8,0.91,N/A,3.6,N/A
C0FA20,24.3721777777778,120.583125,N/A,23.5,N/A,0.0,1012.0,0.92,N/A,2.9,N/A
C0E930,24.7000361111111,120.859127777778,N/A,24.6,N/A,0.0,1012.5,0.79,N/A,1.6,N/A
C0UB00,24.8232388888889,121.730383333333,N/A,20.3,N/A,27.5,974.1,1,N/A,1.9,N/A
C0U880,24.9065111111111,121.871875,N/A,22.3,N/A,20.0,1015.9,0.94,N/A,1.3,N/A
CM0140,23.099575,121.383358333333,N/A,24.0,N/A,0.0,1014.4,0.87,N/A,0.2,N/A
CM0160,23.9006888888889,120.712191666667,N/A,23.8,N/A,0.0,-99,0.99,N/A,0.0,N/A
CM0180,22.8885583333333,120.664108333333,N/A,23.0,N/A,0.0,981.2,0.99,N/A,0.0,N/A
C0W110,25.9651972222222,119.980686111111,N/A,20.6,N/A,0.0,1016.2,0.86,N/A,8.2,N/A
C0W120,23.5626,119.468436111111,N/A,22.3,N/A,0.0,1008.5,0.91,N/A,6.8,N/A
