Name,Lat,Longt,Cluster,AirTemp,RelativeHumidity,WindSpeed
4UT01_2005_8_29.n3,40.82944,-111.88222,3,0.717248062015504,0.1975,0.03833333333333334
690_2005_8_29.n3,43.5326,-112.94775,3,0.741375968992248,0.07333333333333333,0.13666666666666666
A01_2005_8_29.n3,37.0339,-116.0989,3,0.7906976744186046,0.0075,0.01
A02_2005_8_29.n3,37.1428,-116.1117,3,0.7877906976744186,0.0975,0.01
A03_2005_8_29.n3,37.05183,-115.9965,3,0.7936046511627907,0.0,0.0925
A04_2005_8_29.n3,37.1006,-116.1231,3,0.7761627906976745,0.0775,0.0975
A09_2005_8_29.n3,37.1367,-116.0469,3,0.7892441860465116,0.0,0.1225
A12_2005_8_29.n3,37.1967,-116.2275,3,0.6933139534883721,0.01,0.01
A14_2005_8_29.n3,36.937,-116.17167,3,0.7790697674418605,0.01,0.08
A16_2005_8_29.n3,37.0714,-116.0561,3,0.7776162790697675,0.0,0.12
A17_2005_8_29.n3,37.0714,-116.0561,3,0.7936046511627907,0.01,0.105
A18_2005_8_29.n3,37.1067,-116.3231,3,0.752906976744186,0.175,0.1025
A20_2005_8_29.n3,37.2608,-116.4369,3,0.7238372093023255,0.25,0.1
A21_2005_8_29.n3,37.0314,-116.1728,3,0.751453488372093,0.0975,0.085
A24_2005_8_29.n3,36.8433,-116.47,2,0.7674418604651163,0.94,0.075
A25_2005_8_29.n3,36.6856,-116.4069,3,0.8313953488372093,0.1475,0.0925
A34_2005_8_29.n3,36.8436,-115.9083,3,0.8270348837209303,0.0975,0.1125
A35_2005_8_29.n3,37.8014,-116.7594,3,0.7572674418604651,0.2675,0.1225
A42_2005_8_29.n3,36.7056,-116.3589,3,0.8313953488372093,0.0,0.1025
A45_2005_8_29.n3,37.0064,-116.0664,3,0.7936046511627907,0.0,0.1075
A49_2005_8_29.n3,37.1039,-116.0919,3,0.7761627906976745,0.0,0.105
AAWC1_2005_8_29.n3,35.8639,-119.3939,3,0.8023255813953488,0.16,0.025
ABE_2005_8_29.n3,42.95497,-112.82455,3,0.7415213178294574,0.12666666666666665,0.05833333333333333
ABMN6_2005_8_29.n3,43.1131,-78.4042,0,0.7151162790697675,0.31,0.05
ABNW1_2005_8_29.n3,46.3428,-123.0833,2,0.5465116279069767,0.88,0.08
ACHC1_2005_8_29.n3,37.1575,-120.25,3,0.8125,0.2325,0.0725
ACOC1_2005_8_29.n3,36.8594,-119.6006,3,0.5319767441860465,0.195,0.05
ACON5_2005_8_29.n3,34.7197,-107.8483,3,0.6104651162790697,0.29,0.08
ACRI1_2005_8_29.n3,43.6217,-113.3889,3,0.7441860465116279,0.06,0.11
ACRU1_2005_8_29.n3,37.5222,-112.2711,3,0.6802325581395349,0.14,0.04
ADFW1_2005_8_29.n3,46.2683,-117.4983,3,0.6744186046511628,0.22,0.03
AELG1_2005_8_29.n3,31.1097,-83.4269,1,0.7558139534883721,0.67,0.07
AFRG1_2005_8_29.n3,33.8967,-83.3656,1,0.7325581395348837,0.63,0.03
AFSN2_2005_8_29.n3,39.5025,-117.5144,3,0.7616279069767442,0.06,0.06
